[1] "The taxa modelled are:"
 [1] "ASH"            "BEECH"          "BIRCH"          "ELM"            "HEMLOCK"        "MAPLE"         
 [7] "OAK"            "OTHER.CONIFER"  "OTHER.HARDWOOD" "PINE"           "SPRUCE"         "TAMARACK"      

[1] "Summary of posterior parameter vals:"
                   2.5%         50%       97.5%
mu.1         -0.7144977 -0.62216797 -0.52980745
mu.2         -2.6702221 -2.15503490 -1.49539922
mu.3         -0.1330644  0.00709215  0.21708656
mu.4         -0.5010130 -0.29461050 -0.08412054
mu.5         -1.9737763 -1.69772500 -1.43875431
mu.6         -0.1935875  0.04009400  0.31548660
mu.7          0.6859021  0.85681850  1.09288026
mu.8         -0.5437926 -0.31662850 -0.10658802
mu.9          0.8285110  1.00159001  1.15768627
mu.10        -0.1319922  0.04203330  0.25628300
mu.11        -0.7357298 -0.59835902 -0.29397573
alpha_s.1.1  -1.6736230 -0.46470100  1.00192128
alpha_s.2.1  -0.6203771  1.35403001  3.70968429
alpha_s.3.1  -0.5822377  0.35490499  1.29042929
alpha_s.4.1  -1.9696901 -1.01546496  0.17241537
alpha_s.5.1  -0.5684387  0.88674900  4.13001088
alpha_s.6.1  -0.8644023  0.51425600  2.01010019
alpha_s.7.1  -2.0635306 -0.21517950  1.44488370
alpha_s.8.1  -1.0011940  0.18798100  1.67180924
alpha_s.9.1  -2.0211951 -0.63654301  0.70133048
alpha_s.10.1 -1.6493822  0.43819150  2.42327978
alpha_s.11.1 -0.7857519  0.07276530  0.98395620
alpha_s.1.2  -0.5869590  0.77696851  1.81261644
alpha_s.2.2  -3.3420730 -1.44173497  0.26860462
alpha_s.3.2  -1.9750780 -0.95497701 -0.05184818
alpha_s.4.2  -0.8457382  0.45055051  1.73623548
alpha_s.5.2  -3.0476985 -1.40520495  0.38916059
alpha_s.6.2  -1.2981522 -0.02334660  1.31665573
alpha_s.7.2  -0.1176702  1.45577002  3.15323402
alpha_s.8.2  -2.3118307 -1.48732495  0.04383943
alpha_s.9.2  -0.5170981  0.88912600  1.78766379
alpha_s.10.2 -1.4995675 -0.21457850  1.05904795
alpha_s.11.2 -1.7922245 -1.04016000 -0.15582462
alpha_s.1.3  -0.5993825  0.70350200  2.60257303
