[1] "The taxa modelled are:"
 [1] "ASH"            "BEECH"          "BIRCH"          "ELM"            "HEMLOCK"        "MAPLE"         
 [7] "OAK"            "OTHER.CONIFER"  "OTHER.HARDWOOD" "PINE"           "SPRUCE"         "TAMARACK"      

[1] "Summary of posterior parameter vals:"
                     2.5%        50%       97.5%
mu.1         -0.338973139 -0.1619990 -0.03099555
mu.2         -3.864372563 -3.2404051 -2.37915247
mu.3          0.169888479  0.2784865  0.39033282
mu.4         -0.063839772  0.1389665  0.30467827
mu.5         -2.509472984 -2.1726300 -1.60388423
mu.6          0.291098968  0.5866980  0.74135768
mu.7          1.120352530  1.3124750  1.48729322
mu.8         -0.259397375 -0.1059790  0.12989633
mu.9          1.413347289  1.5192550  1.64863575
mu.10         0.056731819  0.2272925  0.36582499
mu.11        -0.418763886 -0.2732380 -0.07569174
alpha_s.1.1  -1.841818011 -0.4668620  0.77040306
alpha_s.2.1  -0.142409876  2.1069400  4.29090765
alpha_s.3.1  -0.261921995  0.6957920  1.60957173
alpha_s.4.1  -1.661564040 -0.3196025  1.05280855
alpha_s.5.1  -0.857213449  1.4319200  3.29370772
alpha_s.6.1  -1.286334532  0.2844715  2.05520526
alpha_s.7.1  -3.396446937 -1.0679300  0.76231777
alpha_s.8.1  -0.979587953  0.2329185  1.42834444
alpha_s.9.1  -2.208423287 -0.8236940  0.35644211
alpha_s.10.1 -1.846723554 -0.1395665  1.35959252
alpha_s.11.1 -0.796389946  0.3274355  1.28988347
alpha_s.1.2  -0.610583949  0.5511475  2.44185647
alpha_s.2.2  -2.358250505 -0.5547425  0.92001984
alpha_s.3.2  -1.809937018 -0.8371665  0.07710380
alpha_s.4.2   0.126721670  1.5265550  2.50173891
alpha_s.5.2  -4.974498367 -2.0220200  0.46577841
alpha_s.6.2  -1.273751727  0.1710350  1.61903123
alpha_s.7.2  -0.002518096  1.6740250  3.28881999
alpha_s.8.2  -1.863053221 -0.8080990  0.10771805
alpha_s.9.2  -0.215583332  0.9686740  2.01097307
alpha_s.10.2 -2.375308442 -0.3339705  1.53879222
alpha_s.11.2 -1.783463478 -0.7151405  0.33571385
alpha_s.1.3  -0.605229025  0.6680695  2.09163598
