[1] "The taxa modelled are:"
 [1] "ASH"            "BEECH"          "BIRCH"          "ELM"           
 [5] "HEMLOCK"        "MAPLE"          "OAK"            "OTHER.CONIFER" 
 [9] "OTHER.HARDWOOD" "PINE"           "SPRUCE"         "TAMARACK"      

[1] "Summary of posterior parameter vals:"
                 2.5%         50%       97.5%
ksi        0.01641830  0.04079425  0.08240577
sigma.1    0.65435221  1.17155498  1.69510455
sigma.2    0.81040155  0.92476800  1.18760275
sigma.3    0.71269107  0.92503801  1.48546429
sigma.4    0.68337798  1.14349002  1.77457524
sigma.5    0.96599748  1.37702000  1.72171956
sigma.6    0.89224773  1.13775003  1.96984126
sigma.7    0.88681402  1.35481501  1.73143375
sigma.8    0.68395870  0.96175799  1.75553050
sigma.9    0.76653569  1.06084502  1.58603450
sigma.10   0.70917115  0.86559951  1.39408954
sigma.11   0.74813231  1.42899996  1.79562804
lambda.1   0.01495677  0.02048825  0.02838634
lambda.2   0.01050867  0.01627570  0.02814104
lambda.3   0.02376253  0.02985875  0.03723039
lambda.4   0.02120789  0.03191470  0.04228152
lambda.5   0.03094968  0.04275600  0.06288801
lambda.6   0.03032313  0.03680295  0.04474480
lambda.7   0.04009445  0.05158395  0.06873219
lambda.8   0.01217948  0.01918770  0.02621775
lambda.9   0.02188294  0.02977740  0.03560849
lambda.10  0.02646192  0.03115170  0.03810608
lambda.11  0.01896908  0.02442085  0.03735765
mu.1      -1.71032571 -1.42084002 -1.16202248
mu.2      -4.15785866 -3.87688506 -3.51227986
mu.3      -1.31297644 -1.07887495 -0.81113459
mu.4      -1.33878250 -1.08868504 -0.84185869
mu.5      -4.00118752 -3.52454495 -3.08710393
mu.6      -0.82707022 -0.61811000 -0.30479121
mu.7      -0.31155676 -0.08181470  0.22259733
mu.8      -2.00184553 -1.71839499 -1.18119847
mu.9       0.01776253  0.19307350  0.44958841
mu.10     -1.60545124 -1.36744499 -0.91841072
mu.11     -1.86697544 -1.61571503 -1.31691746
