[1] "The taxa modelled are:"
 [1] "ASH"            "BEECH"          "BIRCH"          "ELM"            "HEMLOCK"        "MAPLE"         
 [7] "OAK"            "OTHER.CONIFER"  "OTHER.HARDWOOD" "PINE"           "SPRUCE"         "TAMARACK"      

[1] "Summary of posterior parameter vals:"
                    2.5%         50%       97.5%
mu.1         -0.89565304 -0.70446250 -0.56417464
mu.2         -2.46477454 -2.17812002 -1.56861373
mu.3         -0.13502028  0.10445750  0.25097124
mu.4         -0.49181600 -0.28130700 -0.13369896
mu.5         -2.04491208 -1.69046497 -1.33459374
mu.6          0.02116754  0.19240601  0.36790499
mu.7          0.80344056  0.96145400  1.14641145
mu.8         -0.36880869 -0.16558200  0.09208988
mu.9          0.89938088  1.04172504  1.16512048
mu.10        -0.14281315  0.02166670  0.13228928
mu.11        -0.77653674 -0.48678501 -0.36814413
alpha_s.1.1  -1.24977697 -0.07996510  1.15626649
alpha_s.2.1  -0.38729560  2.28928494  4.47557812
alpha_s.3.1  -0.23003634  0.58037949  1.43696321
alpha_s.4.1  -2.14630590 -0.51184049  0.78616638
alpha_s.5.1  -1.55502449  1.71725500  4.19309884
alpha_s.6.1  -1.37332294  0.14645200  1.88381977
alpha_s.7.1  -2.59378495 -0.43825500  0.94823818
alpha_s.8.1  -1.12498495 -0.01170219  1.09144501
alpha_s.9.1  -2.20071171 -0.97063202  0.26394686
alpha_s.10.1 -1.34487281  0.53639549  2.36562724
alpha_s.11.1 -0.76776452  0.15933750  1.06305830
alpha_s.1.2  -0.33639411  0.95104751  2.04394802
alpha_s.2.2  -2.75625885 -0.70522949  0.71225100
alpha_s.3.2  -1.96757777 -0.86528701  0.03844266
alpha_s.4.2   0.16730322  1.49299002  2.38056309
alpha_s.5.2  -2.20928735 -0.79180202  1.37482055
alpha_s.6.2  -1.36039645  0.09410690  1.33882599
alpha_s.7.2   0.37648734  2.34373999  4.06066111
alpha_s.8.2  -1.43444396 -0.57971451  0.46671396
alpha_s.9.2  -0.40223141  0.96665099  2.33920323
alpha_s.10.2 -2.37334136 -0.83939901  0.71135114
alpha_s.11.2 -1.57744747 -0.81256849  0.03703194
alpha_s.1.3  -0.81012953  0.30447601  1.50812279
