[1] "The taxa modelled are:"
 [1] "ASH"            "BEECH"          "BIRCH"          "ELM"           
 [5] "HEMLOCK"        "MAPLE"          "OAK"            "OTHER.CONIFER" 
 [9] "OTHER.HARDWOOD" "PINE"           "SPRUCE"         "TAMARACK"      

[1] "Summary of posterior parameter vals:"
                   2.5%         50%       97.5%
ksi        0.0172481482  0.03897280  0.08942158
sigma.1    0.5259687275  0.81135750  1.41204100
sigma.2    0.5197618946  0.72399300  1.30502200
sigma.3    0.7551364198  1.18916500  1.80260320
sigma.4    0.7613379389  0.98159048  1.60683676
sigma.5    0.2923302069  0.62753299  1.73331997
sigma.6    0.8706327751  1.17602003  1.43684503
sigma.7    1.3118190199  1.44363505  2.03075536
sigma.8    0.6652794227  0.90700001  1.74336150
sigma.9    1.0731621981  1.27380002  1.85248245
sigma.10   0.5846687764  0.77746448  1.64183522
sigma.11   0.2931781769  0.58497998  1.31705420
lambda.1   0.0103137102  0.02566370  0.04584092
lambda.2   0.0003459724  0.00593623  0.03068142
lambda.3   0.0155269651  0.01987800  0.02598678
lambda.4   0.0323597373  0.05362065  0.08842942
lambda.5   0.0296246397  0.04708780  0.15526107
lambda.6   0.0263931576  0.03940235  0.06302394
lambda.7   0.0532911891  0.06553860  0.08403055
lambda.8   0.0006150685  0.01455360  0.03345456
lambda.9   0.0288979726  0.04044200  0.05897764
lambda.10  0.0223238408  0.03308685  0.04483189
lambda.11  0.0040402295  0.03466050  0.04932720
mu.1      -1.8412422985 -1.65836501 -1.44499700
mu.2      -4.5615099072 -4.28049517 -3.79513015
mu.3      -1.5113847584 -1.28790498 -1.08740270
mu.4      -1.6613792866 -1.39273500 -1.10851423
mu.5      -4.3847127676 -3.87426996 -3.26568898
mu.6      -1.1166652828 -0.83692950 -0.53130957
mu.7      -0.3328547515 -0.09053815  0.14361577
mu.8      -2.1951210558 -1.88515496 -1.58071949
mu.9      -0.2270196684 -0.02839270  0.17125835
mu.10     -1.5249167353 -1.26341999 -1.05421973
mu.11     -2.1785760164 -1.94622004 -1.66583078
